TIC_ID,T0,Depth,Period,Period_Uncertainity,Duration,TMag,Teff,Radius,NumTransits,a,b,logg,rp_rs,DepthEven,DepthOdd,odd_even_mismatch,snr,sde
293268667,1354.271640196659,0.999393214068994,0.8851796611193662,0.0031268678464976274,1.8609271817711495,8.60400009,6000.0,1.0,29,0.354,0.2157,4.0,0.022657697079086995,0.9994229399910493,0.9994617769014189,0.8415851311426816,32.46404253121999,10.290220213902856
40978063,1441.0283622051586,0.9996349745534262,5.843833287732887,0.12694931601690262,11.95915074745508,10.89500046,5687.31982422,1.06823003,4,0.371,0.2094,4.39113998,0.017525540740932315,0.9996545868620194,0.999720033339461,0.4993460792721776,6.507967714031205,5.6059319084505725
220399293,1387.2179171410578,0.9969706177688535,1.5009817392257059,0.017100595963563836,4.138808459050841,9.17399979,7102.0,1.38176,12,0.2757,0.2311,4.35528994,0.05132543520030892,0.9974389893871763,0.9970180120874346,3.282759350149501,38.53165140970358,5.9975956848057415
176934407,1417.034798060212,0.9992412321839916,8.105027538367976,0.10215946472369453,5.473636791199795,8.65499973,7083.0,1.66165996,3,0.2961,0.2276,4.19315004,0.02559482057137907,0.9991654735836916,0.9996725954476706,4.851055651546321,20.873599317734328,6.425416614064655
12966638,1354.463896199719,0.993156999567938,0.7677540721272975,0.007440444384996636,2.035093553894403,9.27099991,6936.0,1.89159,34,0.3026,0.2256,4.06523991,0.07678198338305545,0.993843217812253,0.9940295143235267,0.7458836381325828,47.577059499744706,5.533124274181374
198008281,1410.9618062371735,0.9783249669499032,0.6579570904379815,0.0013897207388320898,0.8811241866633113,7.84700012,6771.0,2.11855006,35,0.3096,0.2225,3.94799995,0.13650782821405896,0.9789093879942493,0.979888401007288,1.4497121972455942,47.28139844071906,19.763438447021556
294871044,1386.1440801039569,0.9997548435528495,0.993022872332568,0.004309210216822457,0.44371295348618855,8.75800037,4594.0,0.75500202,20,0.4884,0.1727,4.0,0.014077945795365743,0.9997889953738,0.9996995519061174,0.7947849908892646,6.332314220035444,3.2646069050066906
149539114,1438.1648223556142,0.9785369751245896,0.8600926647864118,0.005494926977025916,2.307745530578259,10.48600006,5008.0,1.32497001,30,0.421,0.2031,4.1135602,0.13313348060948144,0.9813801461413286,0.9810609898199035,1.4210543563093967,70.91338450254975,10.748814926720389
260351274,1390.6763042796383,0.9943629881676949,9.53056739848872,0.38909860317463885,19.461882995888907,8.98099995,7210.0,2.1493001,2,0.2801,0.2331,3.98235989,0.0699407243162179,0.9933117654235949,0.9966748674284647,38.41172730318823,47.11851840282816,5.454340036553481
120505952,1354.1259371308174,0.9997973374800271,3.054307500182732,0.006108423528852214,1.8566122014928768,8.65299988,5763.0,1.45910001,9,0.3662,0.214,4.12380981,0.013065063534321467,0.9999061145796562,0.999938794551442,0.5025647220530522,3.302442037374052,4.875450164497053
425064757,1325.3746230771997,0.7838092735056621,0.7846517953408719,0.0013085455708347626,0.45353749075920496,11.46100044,42000.0,0.226,34,0.1258,0.235,5.40230989,0.44571028547212943,0.7837298624686251,0.7833634773359288,0.021956687315960254,72.90096374197583,22.395329268434704
167163980,1419.0950920127807,0.9995889698659387,9.018691758367485,0.21900670278819856,21.3213075140888,9.94499969,6503.0,1.28182006,1,0.3079,0.2295,4.34755993,0.01879156296517919,nan,0.9996007829307523,nan,9.249274979765124,5.6516460639789345
167305895,1326.2004688320835,0.9978043346802139,2.7009641324239273,0.010218836427770217,0.4729450469121387,12.94999981,3160.0,1.0,10,0.1874,0.466,4.0,0.0434508851421933,0.9968278879993101,0.9975036291136458,0.44904038053923334,5.065313692926147,4.859347668099499
149102762,1326.8907188488151,0.991183047893356,12.015818730000289,0.23672434780829654,14.116348478750574,12.55300045,6000.0,1.0,2,0.354,0.2157,4.0,0.0863688736167502,0.9917414828889366,nan,nan,33.91059498774282,8.016662146600064
201938583,1386.9595377507774,0.9851472883682174,3.2783764391787305,0.057481028339576135,8.967251463905706,8.2670002,6966.0,1.67929006,6,0.2961,0.2276,4.17186022,0.11324017013627877,0.9852797596506179,0.9882766373028309,12.518265664455152,33.03826850641052,7.638472205941062
155995065,1361.2622042061614,0.9998639645354871,12.403402103251699,0.13204389912891745,8.35472478048926,8.35000038,5586.0,1.98664999,2,0.3789,0.2128,3.83630991,0.010678457794560147,0.9998814615891798,0.999880492930348,0.018524913218174215,5.939346026634484,5.846725822994828
259593290,1439.1488784020503,0.9980209227708365,1.426550078770148,0.015403392214899503,3.9715252883383068,5.68200016,5153.0,32.30329895,17,0.4083,0.2825,1.35986996,0.040206259032658107,0.9982984540460176,0.9982830918816095,0.6551331568170352,130.48129611155358,9.820919785452249
300382665,1390.8612647237833,0.9963133551381265,7.330620724389639,0.2556977175893316,17.923943781084162,9.89700031,6060.29980469,1.19076002,3,0.3276,0.2297,4.38325977,0.05606180686374833,0.9974351248955547,0.9960181068936776,15.81015365953489,48.434431869640065,5.448004448251855
358511856,1386.99045727193,0.9994404012442724,1.1027603663133196,0.009919488670021903,2.989112132818991,8.74600029,8284.0,1.87976003,17,0.2147,0.2467,4.19953012,0.02228320673967428,0.9994483933859394,0.9995032373324553,1.3278473319456197,32.61738936484784,8.69937145031399
281630320,1411.0512866592398,0.9996645549185769,0.6906453753681421,0.003853268007097621,1.6605494303190236,8.32900047,6981.0,1.64856994,33,0.2961,0.2276,4.18947983,0.017017993471558898,0.9996792994141004,0.9997229508896917,1.1289864785649761,20.720331299246784,5.8403510389947835
177308817,1325.9351182815024,0.9904713619293751,13.759672604289536,inf,1.7766465822659625,11.46700001,4833.0,0.808842,2,0.4642,0.1807,4.51711988,0.08813211289461897,0.9992136404271629,0.9841413554735341,14.497199850245165,28.57653013124222,9.384015265541786
391927841,1443.5302896940086,0.9996133250917626,8.184372190929466,0.14193442828545866,15.942370344951618,10.49800014,6023.0,1.26274002,3,0.3345,0.2282,4.3320899,0.018134335397039104,0.999599209449092,0.999821386626432,1.7919466898086507,8.080459889632525,5.773706433759205
149988068,1438.2065587155926,0.9995790640834169,6.975270599692208,0.07702686987550011,8.988340591560107,10.1619997,6515.10009766,1.58899999,4,0.3276,0.218,3.99000001,0.0189651182311906,0.9994916534651946,0.9997707994070373,2.822640260956168,10.415900316600865,5.618537400899074
70742181,1354.4857016514807,0.9987291551951206,1.4678075238676804,0.008432613181547977,3.339891205971605,9.46199989,6247.0,1.34896004,18,0.3216,0.2301,4.26180983,0.03295259236432219,0.9990373006001685,0.9988706107292772,2.5348192556408415,36.51212387296275,8.279356560712564
364323133,1411.3886487215125,0.9985067919851467,4.041538651347097,0.08491464804974669,9.024604959600879,7.69199991,7578.0,1.86143005,6,0.2353,0.2551,4.14410019,0.036229884149094393,0.9986927077659031,0.9985807217224599,1.6854460475805677,45.6429382960023,8.476998958645051
150392753,1410.924714522495,0.9973623693302425,0.6331258234013659,0.0031701399443289646,1.5407999425263657,8.51799965,7411.0,1.53215003,34,0.2438,0.2464,4.29644012,0.04811403659872925,0.9974035752650451,0.9976822146782435,2.066236390563036,33.18179755814343,8.0269188637036
201176965,1325.733120704762,0.7146665639618786,1.364597958946315,0.0034185221181567416,2.952386936448867,11.08699989,6367.0,1.91603005,20,0.3332,0.2167,3.97679996,0.49329211407702156,0.7360675599308352,0.735886833062915,0.04188987006475074,526.1850904323871,25.485899575168876
231866127,1355.7889302760323,0.9998026634229978,5.3486613698905945,0.03441444132016569,1.8863999642090832,6.81099987,5093.33007813,3.81035995,5,0.4253,0.2077,3.42000008,0.012748713415946316,0.9998395561737708,0.9998054396427423,0.7928155946869028,11.856633596744016,5.502495763507604
382032570,1387.7396619428757,0.9983300391124427,8.107681890028504,0.27223310204298734,14.27204297586162,8.30300045,4066.0,0.65744501,2,0.5164,0.1702,4.0,0.036539481791646775,0.998419596293655,nan,nan,44.523973551879145,7.352067862038108
279637399,1388.3302966909146,0.9994719064702874,3.402556136407759,0.08541735493878799,8.967225156743808,6.19799995,6494.0,3.92193007,6,0.3276,0.218,4.0,0.0212423708192323,0.9996130815628524,0.9994507612398874,7.2468974914012,42.01606900704089,5.176537795253989
167793961,1386.056516249711,0.9991344407145638,0.8772601962640889,0.006267097045417835,2.339312010161444,9.21800041,6970.0,1.56051004,21,0.2961,0.2276,4.23600006,0.027336697588944893,0.9992361567154312,0.9992004829974477,0.5921785022454936,29.835527517406614,7.667024484021053
220568686,1327.192621816919,0.9956818120394733,5.205039628156504,0.10907873906810517,12.400690842063646,8.97500038,6076.0,1.29675996,5,0.3276,0.2297,4.26829004,0.06067394173900679,0.9956753757330558,0.9964386893692749,6.404194070464761,34.844818584399576,7.938395312320192
25195864,1438.2437141119347,0.9498315391454969,0.7435457731910123,0.003230496049301479,1.9856324154690266,10.38799953,7522.70996094,2.36713004,35,0.2353,0.2551,3.93829989,0.21000139407668453,0.9539145433679748,0.9545335844277756,1.0756972241305298,101.57691875338303,16.13978635438418
97467784,0,1,nan,-4.76531596438672,nan,4.77400017,3434.0,1.0,nan,0.2271,0.4253,4.0,nan,nan,nan,nan,nan,0
382190230,1411.503477070676,0.9957584261072743,0.8405079882800023,0.0069382291573164,2.0378173959059986,10.24699974,6341.0,1.41644001,27,0.3383,0.2164,4.23495007,0.060085658119818516,0.9961742314678462,0.9962950000382403,0.9399168433450458,69.19374774396904,7.4895312456435645
262609754,1414.8108745766945,0.9684167440290894,5.435311158476522,0.15861663606862786,11.337925345220327,10.60999966,5084.99023438,0.75278503,4,0.4244,0.1961,4.60827017,0.16150242085980174,0.971087450608945,0.976618661247828,16.570545678715966,73.80768762000285,6.058638265436098
294784522,1411.2879819178952,0.9167958407091494,0.7432191332705376,0.0029458911977533475,1.8050046595822788,9.30200005,6985.0,2.04553008,30,0.2961,0.2276,4.00251007,0.2680218231035376,0.9100827846124422,0.9305610099155195,16.99691233600044,55.57490916391231,11.584008388308284
167365279,1330.6953261387357,0.9996063956289933,8.034626008680304,0.2172328928057059,14.116304892903331,9.73700047,3799.0,0.54100001,3,0.2581,0.3609,4.73993015,0.018332102226377035,0.9995662622756387,1.0001283916592059,3.89401637271904,11.933963157307707,5.876940618612334
425938795,1354.5189142701959,0.9796825592104808,4.172218552322534,0.08032288277381427,10.465550309399571,12.11699963,3286.0,0.27900001,7,0.1529,0.4604,4.97209978,0.13312739613129088,0.9819327269665709,0.9814243007161461,1.4640036226159194,65.06054894671445,5.794082012888969
220401282,1386.584462844027,0.999527165062568,0.7172077634084212,0.00079847516937126,0.08763299152433297,11.14700031,5430.20996094,0.95895499,26,0.3947,0.2049,4.45128012,0.019861477984209175,0.9990077346049375,0.9994160413752129,0.7006992639946639,3.653939173943265,5.387278149927745
375089653,1354.3853040491551,0.9996531850523718,3.677933121765214,0.010423632139674233,0.8858541358406377,9.38799953,6590.0,1.49484003,8,0.3215,0.2192,4.2269702,0.017233039187968285,0.9997694081688523,0.9996214756619681,1.0688711560432238,5.907332652309955,6.645036960122097
303953275,1356.4236659654784,0.9987059503074405,3.362867890598065,0.06488578502409781,9.157305865418447,9.98999977,4802.0,0.93585998,8,0.4642,0.1807,4.38600016,0.032478371370650655,0.9988770177887689,0.9988964774807555,0.32568211600273106,42.26458292891164,6.159008889447764
287402009,1387.2658027491068,0.999752511451646,1.8197490046045735,0.004149086088283793,1.0249783594873256,9.00300026,6413.89990234,2.23890996,10,0.3332,0.2167,4.03999996,0.01452798536774535,0.9998236098756377,0.9999295674784846,1.0949738694320788,3.740680738461501,4.114205602805104
300868398,1325.3936755807379,0.9990687671322533,1.119525843169818,0.001575412671957599,2.049679126002337,11.85599995,3628.0,0.52105802,24,0.2125,0.3984,4.72347021,0.02834495858519154,0.9997522536061677,0.9995165730650868,0.975630397901836,4.216936110665461,5.652878229511309
277108449,1438.4972770401985,0.9993049416403429,0.8803794209069165,0.005665153841000969,2.3827887686116447,9.81499958,7135.0,1.7414,29,0.2801,0.2331,4.15767002,0.024559317177080556,0.9993348424195643,0.9994077976699708,0.9400394990713371,24.176051754038422,10.365227128984904
453094949,1390.877683873158,0.997726621584401,8.251025230871956,0.30811021354973533,21.39520788632035,8.32699966,3709.0,1.0,2,0.329,0.3207,4.0,0.04361825886454643,0.998792393531179,0.9972393657725136,41.346607657869434,47.84988271471271,3.4710032444703756
279430029,1386.0610830709036,0.9997765662548156,1.122876395547288,0.00872466085541912,2.9891646223599313,7.9460001,8951.0,2.27613997,17,0.1791,0.2436,4.07768011,0.01417827001232566,0.9997719380595538,0.9998192260489687,1.6628534062633566,20.63414299257836,7.6934226864373425
