TIC,Orbital Period Value,Orbital Period Error,Orbital Epoch Value,Full TOI ID,Group Disposition,Public Comment
138168780,3.76501,3e-05,1817.58459,1651.01,KP,XO-6 b
154867950,0.66648,1e-05,1683.89687,1652.01,PC,possibly variability
156724719,10.95475,0.00104,1818.12763,1653.01,PC,Period could be double; need stellar radius; Gaia plx=1.3
258829450,1.83511,0.00012,1685.40653,1654.01,PC,potential L1 candidate; low SNR; check nearby stars; slight depth aperture correlation
266500992,3.27767,0.00135,1819.70953,1655.01,PC,Potential L1 candidate
267694283,,,1822.55712,1656.01,PC,single transit; second transit is spurious
27677846,5.62583,0.00223,1821.44854,1657.01,PC,V-shaped; slight odd-even; shoulders before/after ingress/egress
286561122,0.67994,0.00033,1817.94441,1658.01,PC,very short orbital period possibly too close to the star; a/Rstar = 1.3
288631580,5.87731,0.00032,1687.65272,1659.01,PC,
311121985,1.3567,0.00049,1818.07142,1660.01,PC,
312122956,2.05287,0.00089,1817.53001,1661.01,PC,Gaia Teff = 8000 K; Gaia distance from parallax may not be reliable
339538183,2.60943,6e-05,1818.58553,1662.01,PC,large;  non-synchronized stellar activity; secondary (200ppm)
353367071,2.37532,0.00039,1819.39874,1663.01,PC,
353782445,11.834577,0.00043,1689.197953,1664.01,PC,potential L1 candidate; some depth-aperture correlation
354006740,1.76406,0.00029,1819.00417,1665.01,PC,very crowded field; v-shaped; matches to 723801895 which is 0.1 mag and 723801891 which is 1.8 mag fainter
368536386,1.69433,0.00183,1818.74012,1666.01,PC,
409183335,3.32125,0.00032,1818.22815,1667.01,PC,
417705690,2.36155,0.00149,1818.01025,1668.01,PC,potential centroid offset; minor depth-aperture correlation
428679607,2.679485,0.000582,1843.747027,1669.01,PC,
441739020,40.73133,0.00333,1710.17559,1670.01,PC,The original alerted (TOI 1670) period of 26 days is wrong. Correct period is 40.7 days.
459903429,8.13664,0.00331,1821.04876,1671.01,PC,might be 2x period
468828873,3.89675,0.00066,1819.97443,1672.01,PC,might be on 468828877; flux depth aperture correlation
470315428,1.08625,0.00036,1818.19746,1673.01,PC,Matches to a nearby star 668056616 at Tmag=10.3
73104318,7.45494,0.00138,1822.59324,1674.01,PC,could be 2x period; likely there is a background EB with distinctly shorter period from transiting event
81831095,3.13282,0.00027,1794.77733,1675.01,PC,check nearby stars
8400842,3.191584,7.6e-05,1819.064098,1676.01,KP,XO-3b
87090944,0.64367,0.00012,1818.20905,1677.01,PC,v-shaped
96291218,6.8561,0.00201,1820.62536,1678.01,PC,Third transit on momentum dump; v-shaped; large
9837861,0.65725,0.00027,1817.9375,1679.01,PC,Possibly variability; check 9837855
259168516,4.802445,0.000307,1687.264487,1680.01,PC,level-one candidate
321041369,1.537559,0.000165,1816.53305,1681.01,PC,V-shaped; some small centroid offset
367366318,2.734786,3.8e-05,1819.25341,1682.01,KP,KELT-7 b
58542531,3.057601,0.000336,1816.411928,1683.01,PC,potential L1 candidate
85031598,1.155109,0.00011,1816.411666,1684.01,PC,Possibly EB; difference image suggests some centroid shift but not consistent between the two orbits; minor depth-aperture correlation
28900646,0.669174,7.3e-05,1816.225016,1685.01,PC,potential L1 candidate
