rowid,TIC_ID,TESS Disposition,TFOPWG Disposition,Planet SNR,Sectors,Comments,Full TOI ID,Group Disposition,Orbital Epoch Value,Orbital Period Error,Orbital Period Value,Public Comment
674,160148385,KP,KP,75.9552,2,WASP-96,247.01,KP,1354.319952,0.000133,3.425239,WASP-96
675,160222069,PC,PC,11.0,3,likely on 160222071 (dmag 4.2) to NE and still could be a planet; possible odd-even,854.01,PC,1386.95004,0.00282,5.85059,likely on 160222071 (dmag 4.2) to NE and still could be a planet; possible odd-even
676,160268701,EB,FP,40.0,14,,1143.01,FP,1694.07875,0.0009599999999999999,11.196019999999999,TFOPWG FP Retired as SB1
677,160440924,PC,PC,10.0,22,Slight depth aperture correlation,1814.01,PC,1685.50701,0.00088,6.36578,Slight depth aperture correlation
678,160487753,PC,PC,9.0,"15,16,19",Marginal,1345.01,PC,1715.45948,0.00488,8.47134,Marginal
679,160578764,KP,KP,35.0,11,,1930.01,KP,1601.27685,0.00031,2.8782900000000002,
680,160708862,PC,KP,61.0,11,,1337.01,KP,1602.83643,0.0005,3.3428699999999996,likely EB
681,161032923,PC,PC,8.048016,13,potential L1 candidate,1080.01,PC,1654.060034,0.000675,3.965347,potential L1 candidate
682,161156159,PC,PC,17.0,10,,1988.01,PC,1571.95965,0.00044,2.28265,
683,161450762,,FP,24.0,14,Gaia parameters suggest giant star,1155.01,FP,1683.9259399999999,0.00037,1.32003,Gaia parameters suggest giant star
684,161477033,PC,FA,8.819479,5,Period could be half because of a data gap; based on multi-sector data there are likely transits from two separate planets combined to make this 14-day false target,553.03,FA,1416.393527,0.004790999999999999,40.902171,event is different from the original 14.50 day signal in TOI 553.01 although the second transit is the same as the second transit of TOI 553.01.
685,162130054,PC,FP,148.0,16,Possible secondary,1371.01,FP,1716.3725100000001,9e-05,5.0103599999999995,Possible secondary
686,162246865,PC,PC,12.0,10,Minor centroid offset,1984.01,PC,1571.9434,0.00018999999999999998,0.5643699999999999,Minor centroid offset
687,162362398,PC,FP,94.265549,10,Likely EB; large radius.,760.01,FP,1578.660716,0.001094,12.352053,Likely EB; large radius.
688,162689341,KP,KP,29.26405,23,WASP-92 b,1838.01,KP,1930.0014579999997,0.000129,2.174693,WASP-92 b
689,162695785,PC,PC,116.0,11,possible Jupiter,1970.01,PC,1601.7704,0.00011999999999999999,2.56035,possible Jupiter
690,162922904,KP,KP,19.0,10,,1931.01,KP,1575.34358,0.00145,3.8172099999999998,
691,163539739,PC,PC,14.212948,15,v-shaped,1278.01,PC,1711.959772,0.002193,14.476217000000002,v-shaped
692,164150539,PC,FP,13.0,16,Minor depth-aperture correlation,1372.01,FP,1741.7322399999994,0.00088,6.16027,Minor depth-aperture correlation
693,164173105,PC,PC,34.392918,16,Likely EB,1417.01,PC,1739.2866370000006,9.9e-05,3.072641,Likely EB
694,164767175,PC,PC,9.309046,3,period ambiguous for .01 and .02; unclear which transits are attributed to which candidates; will not be observed again in nominal mission,266.01,PC,1393.078739,0.004925,10.767807000000001,period ambiguous for .01 and .02; unclear which transits are attributed to which candidates; will not be observed again in nominal mission
695,165317334,PC,PC,9.386587,10,,761.01,PC,1576.382627,0.004518,10.563348,
696,165523947,PC,FP,11.0,15,,1317.01,FP,1711.85776,0.00173,2.99041,
697,165551882,PC,PC,7.327591,18,Marginal level one candidate; possible instrument noise,1633.01,PC,1798.1042170000005,0.005804999999999999,12.15828,Marginal level one candidate; possible instrument noise
698,165763244,PC,PC,8.914992,22,Possibly instrument noise,1805.01,PC,1901.50085,0.006084,24.073068,Possibly instrument noise
699,165987272,KP,KP,71.03987,23,KELT-6 b,1840.01,KP,1929.0017870000001,0.000538,7.844963000000001,KELT-6 b
700,166184426,PC,PC,13.0,11,two stars in the same pixel,1955.01,PC,1600.45092,0.00125,16.3152,two stars in the same pixel
701,166648874,PC,PC,8.847484,22,The even transit has a ramp shape. Has a transit-like single transit st ~1905.,1806.01,PC,1909.5468010000002,0.0060869999999999995,15.145469,The even transit has a ramp shape. Has a transit-like single transit st ~1905.
702,166697854,,FP,17.0,2,two stars in the same pixel; Gaia radius of 166697854 is 1.6 Rsun; second star is 4 as away and dmag 4,300.01,FP,1354.42965,0.00045999999999999996,2.75753,two stars in the same pixel; Gaia radius of 166697854 is 1.6 Rsun; second star is 4 as away and dmag 4
703,166739520,KP,KP,162.08876,"2,3",WASP-117,190.01,KP,1357.571578,0.000175,10.020817,WASP-117
704,166833457,KP,KP,78.312546,4,WASP-98b,404.01,KP,1413.166675,0.000103,2.962482,WASP-98b
705,166836920,KP,KP,137.024765,3,WASP-99,267.01,KP,1387.9602710000001,0.000221,5.75244,WASP-99
706,167009792,PC,PC,10.0,"1,2,3,4,5,7,8,10,11",possibly NEB or stellar variability,1941.01,PC,1326.50565,4e-05,1.13311,possibly NEB or stellar variability
707,167031605,PC,FP,15.0,6,Large planet on top of variability,884.01,FP,1468.69741,0.00061,2.7809,Large planet on top of variability
708,167092385,PC,PC,9.0,15,,1318.01,PC,1712.03961,0.00217,4.99024,
709,167098530,PC,FP,19.0,15,Potential L1 candidate,1319.01,FP,1712.7966199999994,0.00041,1.7841099999999999,Potential L1 candidate
710,167303382,PC,PC,9.354317,"1,2,3,5,6,7,8,9,10,11,12,13",low S/N transit; Gaia DR2 shows two stars with the TESS PSF (the 4,802.01,PC,1327.4000230000001,6.6e-05,3.693839,"low S/N transit; Gaia DR2 shows two stars with the TESS PSF (the 4"" DR2 companion is too faint to cause the signal)."
711,167342439,PC,PC,8.542225,"1,2,3,4,5,6",only two transits,707.01,PC,1345.517315,0.008226,52.80913,only two transits
712,167403519,PC,PC,35.0,15,,1320.01,PC,1713.0154100000002,0.0007700000000000001,3.9712199999999998,
713,167415965,PC,PC,25.924818,"1,2,3,4,5,6,7,9,10,11,12,13",follow up in progress,214.02,PC,1332.4945050000001,0.000146,9.695722,possibly has TTVs
714,167418898,PC,FP,46.0,"1,2,3,4,5,6,7,8,9,11,12,13",likely large planet on 167418903; this TIC ID is for a NPC (nearby Planet Candidate),383.01,FP,1335.77147,5.9999999999999995e-05,10.980360000000001,likely large planet on 167418903; this TIC ID is for a NPC (nearby Planet Candidate)
