,Unnamed: 0,TIC_ID,T0,Depth,Period,Period_Uncertainity,Duration,TMag,Teff,Radius,NumTransits,a,b,logg,rp_rs,DepthEven,DepthOdd,odd_even_mismatch,snr,sde,Mass,distance,lum,rho,Camera,CCD,RA,DEC,PMRA,PMDEC,PMTOTAL,MH
3031,3031,38126922,2180.4768367653915,0.9997737616265596,6.413274473025767,0.05800858011234311,6.518067567167853,7.59070015,6255.0,1.09254,3.0,0.3174,0.2305,4.44754982,0.013914418038517614,0.9998125129356432,0.9996950176702956,2.8283933157765007,15.565839801874347,6.70319008557093,1.22,58.6415,1.64619827,0.9354969999999999,1,1,68.3702469576358,-7.8386066372078,82.7548,66.7779,106.3374104,-0.01
3032,3032,350028973,2174.2651075700674,0.9997313309113768,5.5183484717971965,0.07165256813318921,6.408251681682537,8.50230026,4681.60009766,25.6304,5.0,0.4534,0.2702,4.0,0.014695753436677918,0.9997354358267354,0.9997908336546684,1.0921547634598254,14.072881166098087,5.780833579298943,,1047.67,,,4,4,114.76992071939,-62.6646433379229,-8.86269,11.133,14.22993194,-0.74000001
3033,3033,179209305,2187.125790749,0.8237441583295398,12.943642720495966,inf,1.3589438066809676,12.12150002,6000.0,,1.0,0.3685,0.5069,4.0,0.3737847884743473,,0.8313025753855108,,39.6058442999774,12.740388259616935,,,,,4,3,79.5497289877757,-69.2175757336126,,,,
3034,3034,179204591,2174.6280537260504,0.9990181889141168,1.086335461984448,0.002174632886598471,0.692163725177903,11.8895998,6000.0,,23.0,0.3685,0.5069,4.0,0.027897406407434176,0.9990652688931336,0.9991401228473134,0.17091325275499086,5.414855748864825,6.839263082435641,,9657.47,,,4,3,79.3868541910253,-69.7520916653441,1.93411,0.573992,2.01748564,
3035,3035,24607949,2175.018154132552,0.9891293973770796,1.0110580177269393,0.008903720981083163,2.795386875402589,12.07019997,3563.0,0.606831,24.0,0.2125,0.3984,4.64545012,0.09684417168645228,0.9905041023979528,0.9900259998935056,1.1807249519170493,42.86827666364707,6.9678643039303685,0.593627,102.618347,0.053467948,2.6565,2,3,80.7013254950432,-11.744210519635,-0.59,-52.45,52.45331829,
3036,3036,246927990,2175.087858501059,0.9929303856868708,1.1093945473248468,0.009507187746103265,3.053033934828336,13.88749981,3229.0,0.302774,22.0,0.1533,0.4776,4.92264986,0.07839397759013925,0.9942995418957988,0.992933424200771,1.719520330094621,21.69806272194301,8.7530641803481,0.27978400000000003,72.3923,0.008978505999999999,10.0802,2,4,73.7738261096749,-15.4964532652946,15.5944,-55.6434,57.78731067,
3037,3037,673559040,2176.032322548665,0.9996326296232568,2.1919998124967663,0.017990249330870345,1.2153520714436246,7.367700099999999,5791.0,1.06794,11.0,0.3495,0.2247,4.39799976,0.017629909450801645,0.9996252242781062,0.9995859046535333,0.22150457227860496,6.5661563384157215,4.164884420907166,1.04,45.1591,1.15559745,0.8538610000000001,1,4,69.7388663639599,14.1055600052282,85.2386,-18.5972,87.24376641,
3038,3038,167717630,2175.1189368777827,0.9994372482773524,2.6573400807998007,0.0286452300170299,2.436140039203666,10.45219994,6262.0,2.54694,10.0,0.3374,0.2348,3.71238995,0.021850367536823144,0.9991677207816636,0.9995599175753092,2.1704341285382087,10.067655739207543,5.513857223394909,1.22,500.245,8.986385,0.0738419,3,1,80.7847225281285,-39.9995762598481,6.53581,-7.78939,10.16815661,
3039,3039,177175199,2174.641045314107,0.9977694269154116,1.040082481351473,0.0036249652169594304,1.277553112633875,10.79370022,5793.0,3.50282,23.0,0.3704,0.2275,3.36627007,0.04325038456423256,0.9980379795846006,0.9979254438889584,0.7653952166675119,39.49631624103446,15.773026855058172,1.04,657.768,12.4492769,0.0241981,4,4,105.080007350158,-70.8908161764827,0.613403,8.67534,8.69699876,
3040,3040,260504147,2174.3090301342713,0.8891291050107606,4.210659448527493,0.023232092310210284,3.8161426220807018,8.52900028,6000.0,,6.0,0.3685,0.5069,4.0,0.2964549048501648,0.8954175140497009,0.9061636510498684,1.6470259841216184,189.69024501894242,18.589104054019217,,206.18599999999998,,,4,1,96.43016,-55.161774,-0.7,0.3,0.76157731,
3041,3041,38942862,2178.862561513481,0.9994345102702632,7.050070598124082,0.03306412655124191,0.6129151801874569,10.09990025,4235.29980469,0.8374940000000001,3.0,0.4429,0.2201,4.41165018,0.02147697715502744,0.999582587675691,0.998605568230486,2.2555834962413623,5.345378595618446,4.4219093258942594,0.66,64.2625,0.20332709,1.1235700000000002,4,2,70.211665068548,-65.4316423368994,49.2966,-76.9908,91.42066537,-0.05
3042,3042,244279554,2174.6686521119877,0.996290191586966,0.6600391265766448,0.0011184665616150724,0.6091126647326371,11.30210018,7781.0,1.74503,36.0,0.2396,0.2457,4.21927977,0.057110434480917814,0.9975100933575386,0.9956061137583097,3.29256857248611,15.592677917251091,7.720395727307851,1.84,680.455,10.056381199999999,0.34626599999999996,1,2,74.7872913973356,-1.5756546420941,0.213437,-5.27512,5.27943618,
3043,3043,24528012,2174.240658283765,0.9972735073389336,0.8485019171131588,0.002345700664564409,1.3956902336663926,8.14188004,7950.0,3.41475,29.0,0.21600000000000005,0.27,3.65237999,0.04906621057022465,0.99731641384186,0.9975538805832859,1.1637305664323063,32.1246036414237,7.990617801336301,1.91,319.089,41.964290000000005,0.047968699999999996,2,3,80.2426314642707,-11.6149296029305,-6.5782,6.25662,9.07843649,
3044,3044,4116436,2174.4264701759107,0.9976952798336619,0.6749134383912488,0.0017288185284179967,0.5542432840925613,9.23729992,7752.74023438,2.59453,36.0,0.2396,0.2457,3.87240005,0.04501412620768816,0.9977242857421872,0.9980026366156816,1.1915880752583208,21.063951966347588,9.625788978734137,1.83,348.289,21.909566899999998,0.104779,1,2,80.3357150398918,-0.607886066036934,-6.83809,-10.0758,12.17707767,-0.008
3045,3045,160377835,2174.3273877994066,0.9990200818267344,12.84476547121156,inf,2.3462859145313586,11.45930004,4866.0,0.806235,3.0,0.4508,0.1887,4.52276993,0.02831696857387405,0.9989655283988104,0.9994223205348612,0.651769763839543,5.325013215576579,4.848188289551497,0.79,157.82299999999998,0.328326523,1.50745,3,1,91.7015591658895,-34.4437660900863,0.861424,33.1576,33.16878787,
3046,3046,467619023,2174.5912468445254,0.8803834779433668,0.6911052361100302,0.002098493531153212,1.3786345461962983,16.32979965,6000.0,,34.0,0.3685,0.5069,4.0,0.307925353658305,0.8946339168439388,0.8954642919306091,0.09532937937416217,28.55618349706064,11.624606544417867,,73.3774,,,1,3,79.5251368669974,9.53779457156016,-6.98631,-32.1975,32.94673783,
3047,3047,21630711,2177.5371185049894,0.9997635019084026,5.5285100429024245,0.06174504231283029,5.3541189515570515,8.95629978,6034.79980469,3.42858,5.0,0.354,0.2321,3.4170599000000004,0.014122421261206206,0.9997676852453312,0.9997055467681608,0.914544975151136,10.832892191566332,4.943978882137788,1.12,305.046,14.0467043,0.0277892,3,1,87.3665818770508,-37.9173474451374,-5.9993,14.0846,15.30906782,-0.31
3048,3048,459954732,2187.1674634553856,0.9978871988331616,12.973554044704995,inf,1.208265028243269,10.38840008,3920.79003906,0.610941,1.0,0.5718,0.2059,4.0,0.0404672333013217,,0.997751992403386,,10.728150949881474,10.917619833369637,,,,,1,1,71.4048804779551,0.975885522959119,28.5269,-8.86234,29.87181102,-0.27200001
3049,3049,332857332,2174.530671648363,0.9988276979231,0.6128223947025128,0.0007595815507436823,0.4362908540837317,9.67080975,6000.0,,40.0,0.3685,0.5069,4.0,0.03048383699586707,0.9986402425965972,0.9993011103636014,3.3050172234539468,12.752381423187089,7.4452293469292865,,282.42400000000004,,,2,3,84.5319073441283,-7.7538046449985,-0.240709,-0.6447,0.6881707,
3050,3050,348839628,2174.6699844010127,0.998891989810016,10.892439080285865,0.035570004965891584,0.8964806646335326,10.92669964,3626.0,0.482023,3.0,0.1671,0.4201,4.75318003,0.031124184202424993,0.9991345808634348,0.9989887389554012,0.31538205034574923,5.1548082671439985,5.108093576595996,0.48001099999999997,39.069,0.03618607,4.28596,4,1,98.8444050778268,-57.2969990053792,-24.5633,190.583,192.15940153,
3051,3051,270577175,2174.329299667209,0.9996073759360836,0.7376652270871119,0.0006491576938870702,0.6974319881562167,3.69569993,8038.68017578,1.54416,33.0,0.2331,0.2353,4.35071993,0.01862041264607363,0.9996516622114408,0.9995945625588404,0.3811897911883488,8.356760269731055,12.091405803558402,1.95,19.7442,8.970550999999999,0.52961,3,4,86.8212165826392,-51.0665035714537,2.49266,82.577,82.61461301,
3052,3052,176875749,2174.285271256052,0.9993215535230922,9.29778223799378,0.12424935503740107,5.029629425935288,10.04189968,6747.0,3.38052,3.0,0.3089,0.2445,3.53846002,0.02410274695413173,0.999491492899667,0.999171225783727,2.0880141967705006,12.308768455150538,7.6707842653012275,1.44,564.881,21.335636100000002,0.037274400000000006,4,3,101.131705472632,-76.9197989830037,2.21365,-11.1348,11.35270969,
3053,3053,260502102,2177.974022653279,0.8480838229947605,7.318811981706999,0.04178160972202472,2.3270990692545666,11.02610016,5177.91992188,1.0262,4.0,0.4136,0.1999,4.36008978,0.3548389204106928,0.8661083170771172,0.8612343452049525,0.8125011712864024,108.29652496325457,13.933798224245324,0.88,190.57,0.681988,0.814314,4,1,96.5159949937714,-59.0161666148624,-53.9544,-18.8063,57.13802761,-0.47653601
3054,3054,144519059,2174.343611280628,0.9993222621942822,12.86403034443136,inf,3.778150248713578,10.11349964,5342.0,0.803904,3.0,0.4036,0.2028,4.59145021,0.023741355095177042,0.9993623921078594,0.9993767252772542,0.06756135667001177,9.373006886963458,7.429890967379285,0.92,102.772,0.474153548,1.77082,3,1,84.8282514778734,-40.0339255734143,2.47664,-7.79273,8.17682008,
3055,3055,150357935,2174.7405649972206,0.9990512946642348,0.6451906373590856,0.0005447389693341577,0.4142650885137429,8.00129986,7548.0,2.1008,37.0,0.2353,0.2551,4.03634024,0.028878355656174155,0.9991552322794356,0.9990106463761934,1.0072883570251956,16.265986065513626,12.78675728248325,1.75,175.59,12.9059916,0.188749,4,1,96.1949411949693,-62.8365789706455,30.2164,32.5438,44.40866748,
3056,3056,153796557,2176.067221906278,0.9997555066726632,2.489220148218514,0.017995327383331317,3.2358857517022486,8.45489979,5009.0,11.9795,9.0,0.4152,0.2817,4.0,0.014112990084138766,0.9998156468283173,0.9997493348519504,1.2649406036598485,12.328771720749474,7.433878214853491,,615.486,,,3,3,66.7281421386028,-46.1715296560289,-4.83507,4.9269,6.90306059,-0.75999999
3057,3057,31511729,2187.096557273772,0.9910123565518116,12.903451201044607,inf,1.1185032337694547,12.87100029,14024.0,,1.0,0.0697,0.5636,4.0,0.08907632246661022,,0.9898760540043734,,11.435845759943627,8.61201972469641,,7902.29,,,4,3,89.1291540852912,-67.5324851903325,1.67083,0.878158,1.88754718,
3058,3058,77361623,2175.5841034227938,0.9998499776892714,3.155356459684011,0.044921074736046895,8.66114041488376,8.60669994,6701.0,2.06491,8.0,0.3158,0.2206,3.96055007,0.011345225509500984,0.9998640071703679,0.9998733810455862,0.28971455260683776,11.567799347920651,8.098876200832954,1.42,194.456,7.74563074,0.161281,3,2,72.5463121744647,-41.5903008801393,19.4338,-38.7756,43.37303007,
3059,3059,394657039,2175.283197013802,0.9887230440675548,3.7607398908127485,0.017145543574938582,3.149719808651595,10.51319981,6979.20019531,1.58746,6.0,0.2961,0.2276,4.22135019,0.09867192028911803,0.9893817431578524,0.989585226899705,1.109593428886485,130.54395396443732,20.6500053605988,1.53,347.593,5.38671,0.382456,4,3,51.7820156922767,-78.549839275776,11.6156,1.95907,11.77964849,0.17
3060,3060,449256892,2175.367401072622,0.6287234067806211,6.9333649371487125,0.045328451405113324,3.6867672835398198,9.35548019,5988.0,1.66843,4.0,0.354,0.2157,4.03563023,0.5604628102677782,0.6770652867205711,0.6768841715949006,0.012213267041273452,118.97004504869058,17.86572362678731,1.102,183.7,3.224333,0.23727600000000001,1,2,80.0380967547127,2.04444594584394,-4.65839,8.80431,9.96074656,
3061,3061,672616115,2174.846170783635,0.9966338354176516,0.6792036203431985,0.0008757673740706906,0.4269186807146819,11.1541996,6000.0,,35.0,0.3685,0.5069,4.0,0.05165561500635275,0.997029093702243,0.9968127858577702,0.21321228655291444,9.101182690788207,11.26125973466218,,567.688,,,1,3,76.418537171671,5.45070344149229,0.0368646,-1.86209,1.86245488,
3062,3062,43490542,2174.310007436748,0.9992852606848222,0.6703733239893813,0.0008571237034104563,0.427208448374177,9.13903046,7606.0,1.62123,37.0,0.2559,0.2329,4.26660013,0.02502055662535024,0.9994060917078916,0.9992091445615034,1.1035261659940019,10.191145370188245,9.380055906287478,1.771,231.62599999999998,7.925147999999999,0.41561099999999995,2,3,75.1824638376274,-7.53164358254281,-3.83052,-0.86925,3.92791026,
3063,3063,246896530,2174.784500581801,0.9990229690041564,0.7174533238304572,0.0009365838982598463,0.4624619192512942,8.64494038,7552.0,1.55421,34.0,0.2559,0.2329,4.29784012,0.029253464160836577,0.9990437283547834,0.9989955231570208,0.25960206709492195,16.317249614786345,16.937331288158948,1.749,174.45,7.07885456,0.46586400000000006,2,4,73.1181791935665,-13.5185345372584,-11.4778,-3.36377,11.96055356,
3064,3064,249028857,2174.360064289349,0.9944512150116948,1.4803442667645774,0.013990648349406776,3.7647003380918616,11.47659969,3320.0,0.358173,17.0,0.1529,0.4604,4.86599016,0.06957158288625084,0.9948932065338372,0.9949471290799308,0.27439606848513903,54.91165455645504,8.690167199433322,0.343646,30.215,0.0140421214,7.47881,1,2,78.7718425532346,-2.61442647264894,-14.6976,-20.7394,25.41932647,
3065,3065,283630261,2187.1555451720333,0.9989914053666504,12.998375598960127,inf,1.6066915523956689,8.92430019,4066.81005859,39.8405,1.0,0.5456,0.2213,4.0,0.02807070639126045,,0.9990458119986492,,8.869752895461794,8.734508560307159,,1198.6,,,1,4,62.1575214545309,10.1899608022402,3.00395,-7.21642,7.81667661,-0.18799999
3066,3066,356754410,2187.1619577100705,0.9985960812568304,12.994180776768859,inf,1.2078798116812577,8.51609993,4494.0,22.1069,1.0,0.4794,0.2623,4.0,0.03343946590914345,,0.9985238738694112,,16.760934147556473,6.985698051100018,,789.9780000000001,,,1,4,61.324253496906,7.30490489254097,-8.0166,-9.92757,12.76019285,
3067,3067,284729193,2174.8295573997984,0.9930206089627222,0.7309410827226553,0.000957007184429648,0.4662169420090133,10.5866003,7729.18017578,2.21482,33.0,0.2396,0.2457,4.00746012,0.07833367268800008,0.9937148980610259,0.9933670721784948,0.6559682947970383,25.260477119322985,15.530287163239985,1.82,515.904,15.7726908,0.167516,1,4,67.5818644274252,10.6399412576072,6.09361,-8.94111,10.82014468,-0.079
3068,3068,299884840,2174.30192143004,0.9881145663067982,0.6160525087371794,0.00127563857848928,1.0297374205372776,7.31279993,7660.0,2.4934,40.0,0.2353,0.2551,3.89734006,0.10221492302012006,0.9890310963696718,0.9890207541379488,0.022232095452505592,33.01545968656116,11.343027612071829,1.79,154.211,19.2838612,0.115472,3,4,87.2315697149851,-46.3156129169872,2.13882,20.9548,21.06367,
3069,3069,454152976,2174.582389346137,0.9998036278883008,0.9015447112197068,0.009254120456691994,1.2008351828566726,8.37290001,4564.0,20.5237,26.0,0.4649,0.2692,4.0,0.01253516725235328,0.9997984626044628,0.9998680899274872,1.5174740768010342,9.670643073419765,4.550187719793513,,695.0830000000001,,,1,4,65.5853785304244,5.33250947059736,36.5114,-47.7883,60.13986986,
3070,3070,32541024,2175.6434676319554,0.9996490373699026,1.579793243668468,0.00986356943077793,0.6376820492131441,10.38189983,5088.0,0.7734300000000001,15.0,0.4244,0.1961,4.59217978,0.017024761028158832,0.9996616951360386,0.999433534042866,1.0710951263650776,5.879028154140356,4.6052751918464585,0.853,101.52600000000001,0.36118084200000006,1.84368,2,2,84.5639620857978,-23.9192822328337,-29.4339,39.1345,48.96798505,
3071,3071,407966439,2187.141692603769,0.9995711479870416,12.998341326522214,inf,1.7592364743524662,4.82013988,4051.0,51.3872,1.0,0.5456,0.2213,4.0,0.01830411525104824,,0.999567277783802,,17.684292390206316,8.769826235540263,,245.86,,,1,4,60.7940991319574,8.88263990118757,7.97195,4.73815,9.27372914,
3072,3072,161617411,2174.271061107996,0.9997769802178539,0.7123697184474832,0.001237317859981435,0.07340188521264951,9.99960041,5947.0,0.8807729999999999,35.0,0.3454,0.2253,4.58577013,0.013746576970605221,0.9993374475609641,0.9994772191979,0.4201942873996121,5.270891857323342,5.622937526183448,1.09,130.407,0.8742066,1.59527,3,2,75.7328916002519,-42.7928850143828,-19.8974,23.3761,30.69769662,
3073,3073,712802733,2174.479198387634,0.9858130360645356,12.908815533843795,inf,8.078543139569707,14.23950005,3821.0,1.11099,2.0,0.3809,0.2823,4.11380005,0.1082506155238604,0.9955211402212826,0.9791810778652302,5.299543219458236,11.227276832294647,7.3384584619176545,0.585,384.952,0.23704107100000002,0.426604,1,2,81.5425384508772,-2.37691493517148,1.95921,-1.23887,2.31803855,
3074,3074,43611724,2174.2416747665206,0.9983871804821506,6.442794055845567,0.017520580736865018,0.8542737688602519,10.7038002,6033.0,1.0046,4.0,0.3345,0.2282,4.48291016,0.03703578322758052,0.997687870458146,0.9991216966429504,2.537350501011808,9.445795207582778,10.105606652091886,1.119,206.521,1.20451951,1.1037,1,2,75.8499349192746,-7.27546305173891,-7.04771,-7.75492,10.47897898,
