rowid,TIC_ID,T0,Depth,Period,Period_Uncertainity,Duration,TMag,Teff,Radius,NumTransits,a,b,logg,rp_rs,DepthEven,DepthOdd,odd_even_mismatch,snr,sde,Mass,distance,lum,rho,Disposition,Group Comment
188,468997317,1544.1277737593757,0.9954891058337216,1.346225907531054,0.01595514061712955,3.458753973237988,8.09799957,9413.0,,18.0,0.3685,0.5069,4.0,0.05979724595697885,0.9953594658169655,0.9971334264688756,11.848803575982306,46.08756512205929,5.250201354011633,,,,,PC,check 5xP
189,238176110,1326.6906129852625,0.9834516064080678,2.798459852303378,0.007130394956250895,1.9753893671398857,10.99100018,4920.0,0.9066549999999999,10.0,0.4508,0.1887,4.49371004,0.11636698273014655,0.9851191403546201,0.9848476123053724,0.8372953282802602,175.95734551520326,26.32625846789865,0.81,149.942,0.439407945,1.0868200000000001,KP,WASP-91
190,304142124,1575.6920477765846,0.9993931554316045,9.607446965322405,0.0988310065142528,3.775855236936876,7.80200005,5167.22021484,0.867451,3.0,0.4136,0.1999,4.5148201,0.02242683420285552,0.9999248494690314,0.9983591593034854,21.571989747483958,28.611875452157978,4.4515907164444,0.87,36.9941,0.4832957000000001,1.33286,CP,single transit event
191,339857675,1492.2308641673153,0.9995696648620972,3.5089476710422387,0.01099174578076445,0.9727642677104458,9.92500019,6688.0,1.59007,7.0,0.3215,0.2192,4.25967979,0.01919624907595677,0.9995940875184306,0.9996524141985152,0.3441967043389265,5.747833993198061,5.556807939987952,1.37,255.33700000000002,4.28560448,0.340781,PC,low MES transit signal
192,356473034,1843.2247405780886,0.9873379551079297,2.6145304406891388,0.01208404588631118,2.2706706222216977,10.4467001,5267.0,1.08495,9.0,0.4036,0.2028,4.32246017,0.10261871500156217,0.9884462356291128,0.988096783885926,0.9435387739272788,108.30754734578886,18.285459311721173,0.902,154.273,0.81614095,0.706286,KP,XO-2 N b
193,425206121,1494.1320093747586,0.989978228208314,4.6133506042010906,0.019767149822077727,3.220837466425883,9.64299965,7346.0,1.67335,4.0,0.2683,0.2357,4.14207983,0.0934441155587986,0.9901371136714032,0.9901747559990552,0.26646377817628664,132.88807465898492,24.530845565099913,1.7,300.276,7.7328104999999985,0.362821,KP,KELT-19A
194,418959198,1740.5316109952537,0.9990292945161244,4.894903302526964,0.02281207892774928,1.6025183697003558,10.51519966,4528.99023438,0.7999649999999999,4.0,0.5037,0.1581,4.48318005,0.027966872253306012,0.9990187539136588,0.9991660712309072,0.5360123733334607,9.097193544681414,12.543617148924255,0.71,86.8203,0.242573053,1.3869,PC,Check nearby stars; potential L1 candidate
195,321041369,1816.5335903448984,0.9989282349081964,1.5373694201148054,0.004501996102765249,0.8308320869738226,10.44449997,5672.47021484,0.9251719999999999,15.0,0.371,0.2094,4.50907993,0.030030299261691037,0.9990309651943916,0.9990116190021188,0.09596375389945508,13.69013362362714,18.695472483860048,1.008,153.89600000000004,0.7984155,1.2728899999999999,PC,V-shaped; some small centroid offset
196,138017750,1792.463807855295,0.996655330545382,2.4719504413071776,0.03426033462982758,1.980693434807912,7.42812014,6104.27978516,2.1280200000000002,8.0,0.3507,0.2158,3.84206009,0.05322951234032315,0.9968904875162059,0.9967675535320532,1.0937688491535664,64.31390482844714,6.440964638865188,1.148,100.635,5.66480827,0.119128,FP,active star
197,134537478,1493.2775933735709,0.989400349112824,1.7091280302028495,0.005269880283444217,1.6840588715038762,10.35999966,5720.0,1.50815,13.0,0.3599,0.215,4.16815996,0.094595059484912,0.9902929224793904,0.9903690344332456,0.2501883913532119,192.53809672249577,23.628186963201838,1.06,250.12099999999998,2.44127131,0.30900900000000003,KP,KELT-14
