TIC_ID,TESS Disposition,TFOPWG Disposition,Planet SNR,Sectors,Comments,Full TOI ID,Group Disposition,Orbital Epoch Value,Orbital Period Error,Orbital Period Value,Public Comment
64836837,PC,,15.0,"16,17",Likely Jupiter sized,1506.01,PC,1742.68672,0.0014199999999999998,10.91188,Likely Jupiter sized
65212867,PC,,75.0,7,,1007.01,PC,1492.04102,0.00058,6.99823,
65412605,PC,CP,166.0,7,,626.01,CP,1493.3151300000006,0.00018,4.40107,
66356824,PC,,22.0,"2,3",,315.01,PC,1355.60052,0.00014,1.7778,
66413476,PC,,23.0,"2,3",There might be some odd even difference.,325.01,PC,1357.72126,0.0008,4.3692400000000005,There might be some odd even difference.
66445643,PC,FP,19.0,"16,17",TFOP FP,1398.01,FP,1742.5906100000002,0.00189,6.55236,TFOP FP
66497310,PC,,15.0,2,,343.01,PC,1355.52155,0.00036,1.75649,
66561343,PC,,15.0,6,2x period (real period is 10.626),892.01,PC,1470.38055,0.00116,5.31165,2x period (real period is 10.626)
66783360,PC,,22.0,"16,17",,1399.01,PC,1738.9840600000002,0.00015,1.38155,
66818296,KP,KP,134.842575,12,WASP-17 b,1050.01,KP,1627.126221,0.000148,3.735285,WASP-17 b
67309890,PC,FP,25.0,"16,17",,1484.01,FP,1739.46756,0.00022,1.16237,
67418624,PC,,11.318684,18,Low Signal-to-Noise,1598.01,PC,1791.6205100000002,9.8e-05,1.103694,Low Signal-to-Noise
67646988,KP,KP,243.00954,21,LP 261-75 b; BD from Irwin et al. 2018 with measured mass,1779.01,KP,1871.022482,1e-05,1.881719,LP 261-75 b; BD from Irwin et al. 2018 with measured mass
67666096,KP,KP,219.0,21,KELT-3 b,1766.01,KP,1872.85441,6e-05,2.70337,KELT-3 b
67772767,PC,,65.0,5,Check 67772765 but otherwise a good giant planet candidate,939.01,PC,1445.9033,0.0007,7.61177,Check 67772765 but otherwise a good giant planet candidate
67926921,PC,FP,79.0,20,Hot host star; the planet could be inflated because of the high stellar insolation; Gaia parallax is 1.7,1712.01,FP,1843.665,0.00033,3.56681,Hot host star; the planet could be inflated because of the high stellar insolation; Gaia parallax is 1.7
68152139,PC,FP,17.0,18,,1597.01,FP,1792.46525,0.00018,0.7377199999999999,
69068526,PC,,28.0,14,,1196.01,PC,1689.03121,0.00097,5.54132,
69679391,KP,KP,304.75152599999996,14,KELT 20b,1151.01,KP,1684.314342,5e-05,3.4741699999999995,KELT 20b
69747919,KP,KP,9.3,2,K2-167b,1407.01,KP,1356.975421,2.2e-05,9.978572,K2-167b
69838258,PC,FP,61.0,2,difference image not conclusive,339.01,FP,1354.57336,0.00072,6.730689999999999,difference image not conclusive
69997672,PC,,9.0,14,,1133.01,PC,1684.2349,0.00123,1.80709,
70440470,PC,KP,0.860842,1,,126.01,KP,1326.731043,0.000203,3.035381,
70513361,PC,,10.47471,3,ambiguous period,262.01,PC,1389.839926,0.002487,11.146909,ambiguous period
70785910,PC,,39.0,2,V-shaped;,348.01,PC,1354.36474,4e-05,0.49486,V-shaped;
70797900,PC,FP,145.515579,2,V-shaped; single transit; likely EB.,224.01,FP,1365.843681,,,V-shaped; single transit; likely EB.
70887357,PC,,29.443734999999997,5,Single transit; ~15 Re or larger based on actual depth,2008.01,PC,1454.33673,,,Single transit; ~15 Re or larger based on actual depth
70899085,PC,,55.0,5,,442.01,PC,1438.3855199999994,0.00016,4.05203,
70914192,PC,FP,150.0,5,V-shaped; depth is actually 5ppt; there is a dmag 4 neighbor at 2.5,427.01,FP,1438.32766,1e-05,0.60952,"V-shaped; depth is actually 5ppt; there is a dmag 4 neighbor at 2.5"""
71431780,PC,,13.512301999999998,20,,1723.01,PC,1852.707062,0.004099,13.716057,
71512186,PC,,10.557674,6,possibly marginal,525.01,PC,1471.035468,0.005283,14.821751,possibly marginal
71612483,PC,FP,93.9797,23,V-shaped; slight odd-even; likely EB,1834.01,FP,1928.268741,3.4e-05,1.216809,V-shaped; slight odd-even; likely EB
71854745,PC,FP,11.0,18,Slightly crowded field; uncertain planet radius,1590.01,FP,1793.51014,0.0020800000000000003,3.10315,Slightly crowded field; uncertain planet radius
72090501,PC,,19.0,6,maybe odd-even; two stars on the same TESS pixel,651.01,PC,1469.47343,0.00017,1.07083,maybe odd-even; two stars on the same TESS pixel
72985822,PC,,20.404739000000006,10,possible odd-even difference,754.01,PC,1572.224414,0.0004570000000000001,3.864109,possible odd-even difference
73038411,PC,,34.0,7,BEB or diluted planet; could be on 73038410 (deep eclipse on that neighbour),978.01,PC,1502.77986,,13.1,BEB or diluted planet; could be on 73038410 (deep eclipse on that neighbour)
73104318,PC,FP,19.0,"18,19",could be 2x period; likely there is a background EB with distinctly shorter period from transiting event,1674.01,FP,1822.59324,0.0013800000000000002,7.45494,could be 2x period; likely there is a background EB with distinctly shorter period from transiting event
73228647,PC,,7.605685,10,low SNR,755.01,PC,1570.101893,0.000708,2.540455,low SNR
