tic_id,Sector,Filename
299899313,5,tess2018319095959-s0005-0000000299899313-0125-s_lc.fits
177022232,2,tess2018234235059-s0002-0000000177022232-0121-s_lc.fits
219238496,4,tess2018292075959-s0004-0000000219238496-0124-s_lc.fits
152360540,4,tess2018292075959-s0004-0000000152360540-0124-s_lc.fits
32053388,1,tess2018206045859-s0001-0000000032053388-0120-s_lc.fits
381949031,2,tess2018234235059-s0002-0000000381949031-0121-s_lc.fits
260043723,4,tess2018292075959-s0004-0000000260043723-0124-s_lc.fits
197931263,4,tess2018292075959-s0004-0000000197931263-0124-s_lc.fits
375057622,5,tess2018319095959-s0005-0000000375057622-0125-s_lc.fits
79611815,3,tess2018263035959-s0003-0000000079611815-0123-s_lc.fits
391927456,5,tess2018319095959-s0005-0000000391927456-0125-s_lc.fits
141911519,1,tess2018206045859-s0001-0000000141911519-0120-s_lc.fits
349059547,1,tess2018206045859-s0001-0000000349059547-0120-s_lc.fits
260474194,2,tess2018234235059-s0002-0000000260474194-0121-s_lc.fits
402311665,1,tess2018206045859-s0001-0000000402311665-0120-s_lc.fits
251851086,2,tess2018234235059-s0002-0000000251851086-0121-s_lc.fits
220573558,3,tess2018263035959-s0003-0000000220573558-0123-s_lc.fits
1129033,4,tess2018292075959-s0004-0000000001129033-0124-s_lc.fits
262885414,4,tess2018292075959-s0004-0000000262885414-0124-s_lc.fits
402293544,2,tess2018234235059-s0002-0000000402293544-0121-s_lc.fits
238225995,3,tess2018263035959-s0003-0000000238225995-0123-s_lc.fits
183528244,2,tess2018234235059-s0002-0000000183528244-0121-s_lc.fits
214517426,1,tess2018206045859-s0001-0000000214517426-0120-s_lc.fits
355636245,2,tess2018234235059-s0002-0000000355636245-0121-s_lc.fits
25133286,2,tess2018234235059-s0002-0000000025133286-0121-s_lc.fits
347545020,4,tess2018292075959-s0004-0000000347545020-0124-s_lc.fits
141610473,2,tess2018234235059-s0002-0000000141610473-0121-s_lc.fits
201306559,1,tess2018206045859-s0001-0000000201306559-0120-s_lc.fits
55559135,5,tess2018319095959-s0005-0000000055559135-0125-s_lc.fits
279254042,1,tess2018206045859-s0001-0000000279254042-0120-s_lc.fits
197890692,3,tess2018263035959-s0003-0000000197890692-0123-s_lc.fits
431380163,1,tess2018206045859-s0001-0000000431380163-0120-s_lc.fits
150100106,5,tess2018319095959-s0005-0000000150100106-0125-s_lc.fits
177162787,5,tess2018319095959-s0005-0000000177162787-0125-s_lc.fits
114809058,2,tess2018234235059-s0002-0000000114809058-0121-s_lc.fits
41858253,2,tess2018234235059-s0002-0000000041858253-0121-s_lc.fits
319289826,1,tess2018206045859-s0001-0000000319289826-0120-s_lc.fits
197881872,2,tess2018234235059-s0002-0000000197881872-0121-s_lc.fits
183529571,2,tess2018234235059-s0002-0000000183529571-0121-s_lc.fits
391894459,5,tess2018319095959-s0005-0000000391894459-0125-s_lc.fits
177019667,1,tess2018206045859-s0001-0000000177019667-0120-s_lc.fits
220536421,1,tess2018206045859-s0001-0000000220536421-0120-s_lc.fits
150068381,5,tess2018319095959-s0005-0000000150068381-0125-s_lc.fits
279245231,2,tess2018234235059-s0002-0000000279245231-0121-s_lc.fits
278727749,2,tess2018234235059-s0002-0000000278727749-0121-s_lc.fits
350477538,1,tess2018206045859-s0001-0000000350477538-0120-s_lc.fits
228382006,2,tess2018234235059-s0002-0000000228382006-0121-s_lc.fits
350297677,4,tess2018292075959-s0004-0000000350297677-0124-s_lc.fits
266980320,1,tess2018206045859-s0001-0000000266980320-0120-s_lc.fits
251846711,2,tess2018234235059-s0002-0000000251846711-0121-s_lc.fits
24695569,2,tess2018234235059-s0002-0000000024695569-0121-s_lc.fits
248945338,3,tess2018263035959-s0003-0000000248945338-0123-s_lc.fits
260042414,5,tess2018319095959-s0005-0000000260042414-0125-s_lc.fits
49869814,4,tess2018292075959-s0004-0000000049869814-0124-s_lc.fits
70797886,2,tess2018234235059-s0002-0000000070797886-0121-s_lc.fits
441420236,1,tess2018206045859-s0001-0000000441420236-0120-s_lc.fits
