rowid,TIC_ID,T0,Depth,Period,Period_Uncertainity,Duration,TMag,Teff,Radius,NumTransits,a,b,logg,rp_rs,DepthEven,DepthOdd,odd_even_mismatch,snr,sde,Mass,distance,lum,rho,Disposition
5056,149993720,1386.0231200250503,0.9994819509102352,1.0466557480442804,0.002639000960395932,0.6189614380776288,11.036999699999999,5239.35009766,0.817184,19.0,0.4136,0.1999,4.71856022,0.020721190114194328,0.99960094969914,0.9995374779904544,0.22514929037357487,4.489480763995875,4.172659559114643,0.89,157.3,0.453360826,1.63091,J
5057,260709448,1388.086769630791,0.9933761059881421,2.3916639586401267,0.05341602898753184,6.293614249164811,9.50599957,6816.22998047,1.8870200000000001,8.0,0.3096,0.2225,3.79688001,0.07546305109275588,0.9938289986592336,0.9943964389897906,3.310866939766397,34.529128885772344,4.673484502886189,1.47,256.743,6.92507839,0.21877,J
5058,150322340,1389.1981862323817,0.9961953400374984,6.124691972095139,0.10450399677251763,4.906407118640967,5.94399977,5913.0,1.04916,3.0,0.3454,0.2253,4.0,0.0567780925817956,0.9985231866138524,0.9924144761702682,21.268426430942878,61.98836452147934,4.7082812691912,1.08,23.8731,1.21229863,0.935187,J
5059,139148071,1325.5984251207606,0.7806051193214294,0.7008978286092643,0.0016885346119639988,1.8102347661145612,9.76099968,6145.0,2.04661,38.0,0.3276,0.218,4.0,0.432972992664842,0.7973169639131545,0.7971631756588959,0.056674391510721685,436.1171679172212,23.60534275811593,1.34,322.2290000000001,6.844709,0.156314,EB
5060,25078924,1386.5315716802945,0.9321978622800122,0.9049660528974892,0.008738073872950058,2.445617519654724,10.71700001,5614.0,1.21763,20.0,0.371,0.2094,4.37658978,0.23885346710662386,0.9381932397969208,0.937360502607306,0.4480293079209194,76.31386895651805,9.390870649347328,1.02,228.492,1.44699836,0.565001,EB
5061,10838695,1386.6696740123136,0.7149496540806926,2.306225174016742,0.011369079741625264,3.9317054590706153,10.05000019,7297.0,2.11853,8.0,0.2042,0.2456,4.0,0.5039641437782086,0.7249416972117272,0.7250151986902599,0.011791500544012262,364.14085205485947,19.330973532484887,2.05,515.144,19.4316235,0.215601,EB
5062,149218072,1411.5012069658105,0.9997245246190696,1.8425777980379692,0.020807392892933096,4.493444042815889,9.87100029,6814.0,1.6195700000000002,11.0,0.2801,0.2331,4.1749301,0.015461337080442703,0.9997146369480029,0.9997695782568956,0.7096716556519291,9.325681800405825,5.980854246015363,1.6,297.4290000000001,6.25603533,0.376633,J
5063,44743153,1411.144967086189,0.9796209027325786,0.8243453492094952,0.004886270077910759,1.9701492885335732,12.93400002,3162.0,0.409393,27.0,0.1606,0.4974,5.03678989,0.13266012625089293,0.9802280406817102,0.9809256693865694,1.1230229685723272,43.03719517751164,10.411698591864763,0.402044,65.6011,0.0147163551,5.85939,J
5064,38396606,1388.682100951799,0.9997386961971022,5.343590338931833,0.08157874428090173,9.631776651936567,3.69700003,6000.0,24.3231,4.0,0.529,0.231,4.0,0.014323653022486437,0.9998307335994356,0.9997228097598968,7.22539296678861,48.31433192799265,6.498933521453827,,99.9995,,,J
5065,321979116,1354.6776186603986,0.9970139729047311,0.6734938140190811,0.0013581926801301547,1.1901597149049885,12.8739996,7261.0,,38.0,0.3685,0.5069,4.0,0.048651556103596144,0.9971965846375062,0.9975075917443004,0.8033418688756847,17.707972042019342,10.551994152923744,,8.333039999999999,,,V
5066,92254406,1332.358138966249,0.9996226650176416,10.300839554187707,0.04054535508261914,2.0862430457916123,7.33599997,4870.0,2.8340400000000003,3.0,0.4152,0.2817,3.32254004,0.017532710668297834,0.9998109095972716,0.9994025089489064,5.975069078303141,14.824972006376331,6.424730964618352,,92.7308,,,IS
5067,350094458,1411.3465325965894,0.999217313554193,0.9345588337362846,0.009765760089831156,2.2498837474567392,8.10200024,6740.0,3.9931900000000002,24.0,0.3237,0.2388,3.4370501000000004,0.02582796271023589,0.9993420503598668,0.9992614958594076,2.2969176246347307,46.54140578057282,7.09131626686434,1.33,269.687,25.54953,0.0208878,J
5068,149347629,1386.175212878399,0.9956541512277414,1.1345505104131948,0.01028470730206199,2.9746956078354563,12.74600029,3098.0,0.46735,17.0,0.1533,0.4776,4.0,0.06146418744052856,0.9959380162731256,0.9960154758475276,0.18257679326356696,26.539068142226228,7.338019749212648,0.464881,72.9029,0.01967101,4.55423,J
5069,149539842,1411.155141612673,0.9995982936848464,0.7418537207386614,0.00261377876086466,1.2148060140677372,10.90400028,5984.0,2.38597,29.0,0.3332,0.2167,4.30751991,0.01850896649379195,0.9996871081728738,0.9995842308678624,0.7179546407101918,6.768825246944957,8.314008079732735,1.3,592.952,8.761872,0.0957085,J
5070,260002934,1388.5014528338158,0.9992663097996431,4.475467034601709,0.00917310886408895,0.8966578102419497,10.48400021,3737.0,0.511,4.0,0.5221,0.3406,4.76195002,0.023756146617549108,0.9994355435034364,0.9993367030815036,0.2862439424419561,4.8383114798072615,4.923425306905089,0.55,54.47221,0.04588058,4.1219199999999985,J
5071,212953686,1388.4712801186554,0.99971163495096,2.9612770402825284,0.026383307875441183,1.1651444174356285,9.80099964,7592.0,3.3825,6.0,0.2039,0.271,4.12552023,0.015991915139386217,0.9997960993330082,0.9996067609950534,1.113368864057689,4.953629096338158,6.28629599729306,1.97,710.21,44.56968,0.0509041,IS
5072,271554988,1415.21399110046,0.999116200047686,4.363492376684779,0.05544784673092629,7.646657066581058,9.31999969,7631.0,2.26578,3.0,0.2273,0.2465,4.04014015,0.02793792991411905,0.9991650237837864,0.999195810506138,0.3701983041765412,22.921200912872862,9.116309325092026,1.9,343.82800000000015,18.17076,0.16334300000000002,J
5073,375089061,1386.6005196257004,0.9990660480282936,1.3777908684138331,0.014314999312622591,3.565625651566384,9.13099957,6950.0,1.7037,14.0,0.2801,0.2331,4.09420013,0.028468718888993667,0.9992414883081135,0.9990377091297178,3.373961085676,30.152647299739147,5.021773854682259,1.62,226.687,7.141589999999999,0.327593,J
5074,313939849,1386.3367367021158,0.9982620543066552,0.8679325540435491,0.004637417849580161,2.043921417715036,11.28899956,3462.0,0.348858,22.0,0.1529,0.4604,4.88191986,0.03893597344750239,0.9984214296774088,0.9983921366735558,0.09577999831406404,14.334046021683127,9.04231794471282,0.35,29.0606,0.013257118899999998,8.24372,J
5075,33836359,1387.2244327276635,0.9969338363270858,2.1096220265730823,0.0050425343886406635,0.7692755357699029,8.08699989,7068.0,3.6523199999999996,9.0,0.2964,0.2488,3.72402,0.05134280003135913,0.9966440812357694,0.9973865433732148,2.4097924377883997,18.76719015475814,7.568599425897347,1.51,272.993,27.6064548,0.030993400000000008,J
5076,278728169,1387.7510234812407,0.999196694503754,2.489720174277373,0.008393893904791172,0.6566917861555539,10.73600006,5620.0,0.8333879999999999,8.0,0.3947,0.2049,4.55545998,0.02588791971350689,0.9990622793951304,0.9995076231385231,1.2163393665833504,5.198931399508719,5.399727356217384,0.94,144.804,0.53403765,1.624,J
5077,271891360,1411.7240254618923,0.999878034488205,0.8654493305830994,0.002404920372779784,0.4965907309171929,8.78199959,6226.0,1.55226,26.0,0.3332,0.2167,4.15607977,0.010198736255894809,0.999838459500862,0.999895012210434,0.6441235330172725,4.482735178180663,5.584140302569331,1.3,142.789,3.7409246,0.347573,J
5078,382552502,1386.4070392384886,0.99201265795214,1.152336334957854,0.012021467412424602,2.9575067386894087,10.58699989,3297.0,0.467062,17.0,0.1529,0.4604,4.96794987,0.08347070425214093,0.9927918647126804,0.9927825309197644,0.055725277381717016,48.60789338918761,8.835831237805582,0.464581,28.1951,0.0223345142,4.55972,IS
5079,12630479,1411.1256144808515,0.9990930939458592,0.8637759764432674,0.0011986644441474015,0.0893425171387732,9.38899994,7324.0,1.7134,25.0,0.2683,0.2357,4.21549988,0.028110000531340558,0.9987561737630104,0.998823949240712,0.1798539839243796,8.174511310424485,6.268560345340173,1.69,260.92,7.96123171,0.335979,J
5080,255567307,1325.6208069603542,0.999698541043746,0.9583729200636008,0.002984410667849213,0.08351281507933853,10.17599964,6304.0,1.2779399999999999,28.0,0.3079,0.2295,4.37919998,0.01609311696452078,0.9994410805200206,0.9997167285660272,0.689249858111854,3.0209827725588485,4.5747093942091634,1.33,230.86,2.6232338,0.63726,IS
5081,339862599,1387.5407393285666,0.9978243206908672,1.6513903995824388,0.0036451516608211327,0.18547398235676715,12.88099957,3606.0,0.56263,11.0,0.2125,0.3984,4.81576014,0.04332555349070805,0.9973698045627574,0.9962864392278084,0.5130001538284332,3.539997105045662,4.729922691335983,0.556475,121.318,0.04684601,3.12447,J
5082,461713146,1440.0196735772738,0.9708842087103152,2.49048441212208,0.029142679824358364,6.980667222486692,9.25500011,4802.0,3.9794,10.0,0.3987,0.2865,2.91339993,0.15445395298665332,0.9744020175532688,0.9744421436488792,0.040320214463361634,136.4190323009791,12.908625201976335,,352.3,,,J
5083,279638888,1385.9606574775287,0.997637798969234,1.1583849862877018,0.002271686944093521,0.13570920839644912,13.34500027,3364.0,0.387333,17.0,0.1529,0.4604,4.93323994,0.045393258961404094,0.9944472836410404,0.9965158238039172,0.7903553650079167,4.55015564105305,6.264814140338715,0.377111,79.9718,0.0161854848,6.48957,IS
