rowid,TIC_ID,Probability,Unnamed: 0,T0,Depth,Period,Period_Uncertainity,Duration,TMag,Teff,Radius,NumTransits,a,b,logg,rp_rs,DepthEven,DepthOdd,odd_even_mismatch,snr,sde,Mass,distance,lum,rho,Camera,CCD,RA,DEC,PMRA,PMDEC,PMTOTAL,MH,Disposition,Comments
46,91190653,0.00036484983866102993,3695,2042.8850675770016,0.9837993078255453,12.181327734833749,inf,27.76754136548127,9.13689995,4936.0,0.73629302,2.0,0.4508,0.1887,4.61245012,0.11513798849563107,0.9847823879502966,0.9890874709200927,38.60421665475807,60.623364990196045,10.813815119399157,0.81,51.7657,0.289932,2.02924,1,2,310.50358190835897,-45.980018457676294,-1.9195200000000001,19.2719,19.36725811,,,
47,404927661,0.01796869561076164,3738,2038.351471744237,0.9680273370261964,9.272350518908425,0.0503116826207215,5.5193672931415465,8.93379974,7695.0,2.71529007,3.0,0.2353,0.2551,3.82810998,0.16764715740841565,0.9572935256373492,0.9999310051572052,63.52419875069798,124.85677732851572,17.83494965742189,1.81,337.451,23.289648100000004,0.0904124,4,1,85.4882154535692,-66.0920342521474,-7.726,16.9294,18.60902094,,,
48,349273278,2.6744671686174115e-06,3760,2036.979229843161,0.9818672493458116,0.8337543536286725,0.003728564549934199,1.7848271378427951,11.16959953,3550.0,0.64893299,20.0,0.1959,0.4178,4.61046982,0.1252439146861702,0.9815499563868774,0.982653738876984,2.3429196368329737,49.94554682273414,12.986824737917381,0.6263270000000001,64.9471,0.0602570474,2.29193,4,3,109.268273896769,-63.1867674803117,-13.8289,45.196000000000005,47.26433001,,,
49,166582002,0.006517138332128525,3772,2036.5987210763,0.99915545007886,0.9680700737565944,0.01083974185442288,2.6848257737683587,7.23449993,6529.33984375,1.29428005,24.0,0.3079,0.2295,4.34433985,0.026936349290197253,0.999233521012055,0.9992627287532744,0.7982601109643632,36.95841107928574,9.042072194582511,1.35,62.9793,2.743037,0.62265,2,3,313.17344514048403,-53.273413012459706,37.8269,-56.1982,67.74298522,,,
50,276863693,1.1523740989227704e-10,3786,2036.5708479814296,0.9968683302530158,1.1009211733340345,0.0017628852082660629,0.6220174193775888,9.65600014,8348.0,1.89981997,21.0,0.2042,0.2456,4.19450998,0.05282345827909152,0.9971199322877308,0.9970886467493166,0.08305694729447846,19.54030807941932,9.012850065652149,2.06,355.736,15.792407,0.300422,4,1,83.6799691154128,-66.9022982431395,-0.832675,3.06294,3.17410603,,,
51,31926807,1.4966381911563076e-08,3790,2036.5893289904475,0.995722670698324,0.6108746097423301,0.0005561922622152049,0.4218138335981958,11.20170021,7477.0,2.18535995,36.0,0.2683,0.2357,3.99454999,0.06104724180279171,0.996166748486106,0.9959207345771216,0.37254344264397227,16.106649659967857,9.391917697396591,1.72,780.512,13.447765400000002,0.164801,4,1,53.70043233617311,-70.0533940555775,-5.9266,5.6326,8.17623204,,,
52,410402272,1.0528527919287378e-12,3821,2036.8560775698327,0.9994488340888086,0.6444785677098473,0.0006132935171438425,0.4283476202255734,9.27690029,7948.0,2.27677989,31.0,0.2273,0.2465,4.00445986,0.022062687380931246,0.9994309939257108,0.999459095326864,0.2794343531063953,12.742681514427712,11.240478951195943,1.91,358.30800000000005,18.6367,0.161834,2,1,291.466748870371,-69.7791232176132,12.609000000000002,-3.7330300000000003,13.14999597,,,
53,293506627,0.06252414733171463,3830,2036.5465434402481,0.9975833136680616,8.556363211792862,0.10861201368278196,6.065444279106396,12.46570015,5609.0,1.42734003,3.0,0.3789,0.2128,4.12465,0.045008299675081014,0.9979613435498664,0.997863482532238,0.19477430347161248,11.487791533661095,11.13607917374856,0.99,585.482,1.81672275,0.340453,3,1,351.24871996863504,-66.2298626549898,30.5784,1.36715,30.60894715,,,
54,316879934,7.125543211028429e-11,3869,2036.4865334534888,0.9957279132474895,1.3806712317376175,0.0024747855650322226,0.5310413329550904,10.65620041,7229.0,1.84648001,16.0,0.2801,0.2331,4.1148901,0.060887155315243614,0.9962596320153024,0.9957594689971784,1.1514118625098926,18.63127389344918,9.004175506685225,1.62,492.362,8.38872,0.257326,2,3,324.96592524039,-55.062487544756,13.9807,0.619276,13.99440871,,,
55,382269606,0.009676853194832802,3926,2039.798660440232,0.9994392502176426,12.181373329389313,inf,21.473778271339945,9.94340038,6391.5,2.67691994,2.0,0.3309,0.2359,3.69001007,0.021836947339018132,0.9996100089347834,0.9993974139504698,2.5133655791360803,16.23951207183907,10.302422161232816,1.28,415.852,10.7739563,0.06672769999999999,4,4,83.05597400452329,-59.1962006485435,1.26722,8.8186,8.9091836,-0.2,,
