rowid,TIC_ID,Probability,rowid_0,T0,Depth,Period,Period_Uncertainity,Duration,TMag,Teff,Radius,NumTransits,a,b,logg,rp_rs,DepthEven,DepthOdd,odd_even_mismatch,snr,sde,Mass,distance,lum,rho,Camera,CCD,RA,DEC,PMRA,PMDEC,PMTOTAL,MH,Disposition,Comments
1326,122707747,0.989061951637268,18951,1686.3917666678174,0.9994149188033284,5.075066937006309,0.03281990111188904,2.560257848688725,8.01309967,11286.0,4.07752991,4.0,0.1306,0.3133,3.68857002,0.02300129718277546,0.9992582654445504,0.9995585360505634,4.52377120056659,25.052784330235315,9.901733993580738,2.96,505.682,243.023544,0.043661800000000014,2,3,290.935967018319,40.7872154495722,7.689019999999999,1.34317,7.80545541,,,
1327,122142317,0.0006138678290881218,18954,1683.7079630428354,0.9965439843356846,0.7634316970794222,0.0019650075185351787,0.6226589214030319,8.23330021,7730.0,4.21379995,23.0,0.2217,0.2718,3.44879007,0.055172987930046144,0.996652819930512,0.9959619672214562,3.310168122159854,26.12457957600064,10.286685615370633,1.82,403.102,57.1164627,0.0243248,1,2,289.84168707599497,38.530376513334105,2.85547,3.7633199999999998,4.72401168,,,
1328,268332598,0.0007513199234381317,18969,1683.8605041780872,0.9945100775800734,0.9564200182421118,0.0026537393898306005,1.1858344177068585,8.15635967,7168.0,3.63495994,27.0,0.276,0.2529,3.52146006,0.06894526326944783,0.9948239519597544,0.9951103104993826,0.6995742948838295,28.8883741671575,7.244512951205173,1.601,300.615,31.425796500000004,0.033334300000000004,3,3,270.945251281183,84.37699382165,7.2568399999999995,-18.6287,19.99225326,,,
1329,900734088,5.015509074723923e-08,18978,1683.4026785107676,0.9990613379467446,0.7834518278056669,0.001017575152341299,0.4425595829968804,6.96700001,7669.0,1.65572,34.0,0.2559,0.2329,4.25537014,0.02867330549620816,0.9990708488189316,0.9991098166813256,0.13566708093725605,8.401625852504326,9.185814956661007,1.8,89.5773,8.543266000000001,0.396562,4,2,162.845772949967,75.99477915078201,-66.2073,-37.025999999999996,75.85730848,,,
1330,110680803,5.496768373802752e-09,18987,1683.6486070925296,0.9988568995856856,0.616087080905547,0.0009232590080294756,0.3050189103016342,9.12615967,6997.0,3.52327991,25.0,0.2894,0.2507,3.53113008,0.03138577356120698,0.9988596179566538,0.9984986677467405,1.4680967605805166,11.054497637445648,9.182918177371349,1.538,429.75,26.80635,0.0351652,1,3,291.572498359413,27.0192879942833,-0.0868807,1.5834700000000002,1.58585166,,,
1331,229645654,3.1728759495308616e-05,18990,1684.5849251650855,0.999574021706698,1.7990457834927216,0.013341001935670338,4.3135840341652765,8.99732018,6886.0,1.63516998,14.0,0.3026,0.2256,4.18587017,0.019157100484054296,0.9997005318404996,0.9994827111607636,4.596197368376225,21.998738088428198,7.024277540253048,1.496,189.495,5.41611528,0.342172,3,2,280.134275186812,74.33795721374291,11.3671,-13.0258,17.28821645,,,
1332,229476285,0.2294327467679977,18997,1683.4531255682075,0.985791100944118,1.095989991860479,0.0037150612980585422,1.328132635544971,12.945300099999999,6489.0,1.64822996,24.0,0.3276,0.218,4.12789011,0.1101863449492836,0.9872837346394996,0.9871383739258563,0.18311894391756026,51.214806775227565,17.57861882125514,1.33,1069.5,4.3394949999999985,0.297031,2,1,295.534547625291,60.482994409865505,-0.23777600000000002,0.775613,0.81124161,,,
1333,232966770,0.013305125758051872,19002,1687.6613953562533,0.9992836337358448,4.493395234474553,0.07997445662520075,12.281830053590605,9.55729961,5341.0,0.9125030000000001,5.0,0.4036,0.2028,4.48139,0.02440856290366927,0.9994727561802312,0.9992483590019112,1.9053010089866969,15.054504140312032,7.221780366060821,0.92,91.2109,0.6104547379999999,1.21084,4,1,197.745918276786,66.5189609487154,5.0626,15.2201,16.03999261,,,
1334,229949018,3.2172159381005367e-10,19006,1684.6211292892356,0.9982363001254204,1.2705381877933453,0.0019363765816176046,0.5890704167413696,9.80996037,7412.0,1.75627995,20.0,0.2683,0.2357,4.17753983,0.03920053961010457,0.9982892461768692,0.9985628248047298,0.9988376215001902,14.009592534075795,7.1638543328871656,1.693,327.996,8.387303999999999,0.31252,2,1,288.537599678076,62.3491078471691,10.5106,14.1025,17.58843991,,,
1335,258875192,0.0,19009,1695.55128546436,0.994919936145145,13.425180507533002,inf,22.096778856656627,10.32470036,4942.0,1.06215,2.0,0.4508,0.1887,4.29578018,0.06447427071861278,0.9972398219216302,0.9940597570474908,16.27769098604066,43.779488553742894,13.103912794394029,0.813,127.323,0.606290758,0.678465,3,2,288.553635857909,71.79060078307741,-13.1915,20.899,24.71404203,,,
